    r     rho_a(r)         V(r)  F(rho_a(r))
4.938  4.95021e-06  8.73797e-05   -0.0100198
4.932  5.04305e-06   8.9287e-05   -0.0102073
4.926  5.13758e-06  9.12358e-05   -0.0103982
 4.92  5.23384e-06  9.32271e-05   -0.0105925
4.914  5.33185e-06  9.52619e-05   -0.0107904
4.908  5.43166e-06   9.7341e-05   -0.0109919
4.902  5.53329e-06  9.94654e-05    -0.011197
4.896  5.63677e-06  0.000101636   -0.0114059
 4.89  5.74214e-06  0.000103854   -0.0116185
4.884  5.84942e-06  0.000106121   -0.0118349
4.878  5.95866e-06  0.000108437   -0.0120553
4.872  6.06989e-06  0.000110803   -0.0122796
4.866  6.18314e-06  0.000113221    -0.012508
 4.86  6.29845e-06  0.000115691   -0.0127404
4.854  6.41586e-06  0.000118216   -0.0129771
4.848  6.53539e-06  0.000120795    -0.013218
4.842   6.6571e-06  0.000123431   -0.0134632
4.836  6.78101e-06  0.000126124   -0.0137128
 4.83  6.90717e-06  0.000128876   -0.0139669
4.824  7.03561e-06  0.000131688   -0.0142256
4.818  7.16638e-06  0.000134561   -0.0144888
4.812  7.29952e-06  0.000137497   -0.0147568
4.806  7.43506e-06  0.000140497   -0.0150295
  4.8  7.57306e-06  0.000143562   -0.0153071
4.794  7.71355e-06  0.000146694   -0.0155896
4.788  7.85657e-06  0.000149894   -0.0158771
4.782  8.00218e-06  0.000153164   -0.0161698
4.776  8.15041e-06  0.000156505   -0.0164676
 4.77  8.30131e-06  0.000159919   -0.0167707
4.764  8.45493e-06  0.000163407   -0.0170792
4.758  8.61132e-06  0.000166971   -0.0173931
4.752  8.77052e-06  0.000170613   -0.0177125
4.746  8.93258e-06  0.000174335   -0.0180376
 4.74  9.09756e-06  0.000178137   -0.0183684
4.734   9.2655e-06  0.000182022    -0.018705
4.728  9.43646e-06  0.000185992   -0.0190474
4.722  9.61048e-06  0.000190049   -0.0193959
4.716  9.78763e-06  0.000194193   -0.0197505
 4.71  9.96794e-06  0.000198429   -0.0201113
4.704  1.01515e-05  0.000202756   -0.0204784
4.698  1.03383e-05  0.000207177   -0.0208518
4.692  1.05285e-05  0.000211695   -0.0212318
4.686  1.07221e-05  0.000216312   -0.0216183
 4.68  1.09191e-05  0.000221029   -0.0220115
4.674  1.11197e-05  0.000225848   -0.0224115
4.668  1.13238e-05  0.000230773   -0.0228184
4.662  1.15316e-05  0.000235805   -0.0232324
4.656   1.1743e-05  0.000240946   -0.0236534
 4.65  1.19583e-05    0.0002462   -0.0240816
4.644  1.21774e-05  0.000251568   -0.0245172
4.638  1.24003e-05  0.000257052   -0.0249602
4.632  1.26273e-05  0.000262657   -0.0254108
4.626  1.28583e-05  0.000268383    -0.025869
 4.62  1.30933e-05  0.000274234    -0.026335
4.614  1.33326e-05  0.000280212   -0.0268089
4.608  1.35761e-05  0.000286321   -0.0272908
4.602  1.38239e-05  0.000292563   -0.0277807
4.596  1.40761e-05   0.00029894   -0.0282789
 4.59  1.43327e-05  0.000305456   -0.0287855
4.584  1.45939e-05  0.000312115   -0.0293005
4.578  1.48598e-05  0.000318918   -0.0298241
4.572  1.51303e-05  0.000325869   -0.0303564
4.566  1.54056e-05  0.000332972   -0.0308974
 4.56  1.56858e-05   0.00034023   -0.0314475
4.554  1.59709e-05  0.000347645   -0.0320065
4.548   1.6261e-05  0.000355222   -0.0325747
4.542  1.65562e-05  0.000362964   -0.0331522
4.536  1.68567e-05  0.000370874   -0.0337391
 4.53  1.71624e-05  0.000378956   -0.0343355
4.524  1.74735e-05  0.000387215   -0.0349415
4.518  1.77901e-05  0.000395653   -0.0355573
4.512  1.81122e-05  0.000404275   -0.0361829
4.506    1.844e-05  0.000413085   -0.0368185
  4.5  1.87735e-05  0.000422086   -0.0374642
4.494  1.91129e-05  0.000431283   -0.0381201
4.488  1.94582e-05  0.000440681   -0.0387863
4.482  1.98096e-05  0.000450283   -0.0394629
4.476  2.01671e-05  0.000460094     -0.04015
 4.47  2.05309e-05  0.000470118   -0.0408478
4.464   2.0901e-05  0.000480361   -0.0415563
4.458  2.12776e-05  0.000490827   -0.0422757
4.452  2.16607e-05   0.00050152   -0.0430059
4.446  2.20506e-05  0.000512446   -0.0437473
 4.44  2.24472e-05   0.00052361   -0.0444997
4.434  2.28507e-05  0.000535017   -0.0452633
4.428  2.32613e-05  0.000546672   -0.0460383
4.422   2.3679e-05  0.000558581   -0.0468246
4.416  2.41039e-05  0.000570748   -0.0476224
 4.41  2.45363e-05  0.000583181   -0.0484317
4.404  2.49761e-05  0.000595884   -0.0492526
4.398  2.54236e-05  0.000608863   -0.0500851
4.392  2.58788e-05  0.000622125   -0.0509294
4.386  2.63419e-05  0.000635676   -0.0517854
 4.38  2.68131e-05  0.000649521   -0.0526532
4.374  2.72924e-05  0.000663667   -0.0535328
4.368  2.77799e-05  0.000678122   -0.0544243
4.362  2.82759e-05   0.00069289   -0.0553276
4.356  2.87805e-05   0.00070798   -0.0562428
 4.35  2.92937e-05  0.000723398   -0.0571699
4.344  2.98158e-05  0.000739152   -0.0581088
4.338  3.03469e-05  0.000755248   -0.0590595
4.332  3.08872e-05  0.000771694   -0.0600221
4.326  3.14367e-05  0.000788499   -0.0609963
 4.32  3.19957e-05  0.000805668   -0.0619822
4.314  3.25643e-05  0.000823211   -0.0629797
