#	T	rho	calc	hoef:
   1.200    1.004    4.24981497    5.33939729
   1.200    1.005    4.29695043    5.38165903
   1.200    1.006    4.34435289    5.42425513
   1.200    1.007    4.39213854    5.46718691
   1.200    1.008    4.44022000    5.51045567
   1.200    1.009    4.48862843    5.55406276
   1.200    1.010    4.53734497    5.59800949
   1.200    1.011    4.58633573    5.64229719
   1.200    1.012    4.63572081    5.68692720
   1.200    1.013    4.68538870    5.73190084
   1.200    1.014    4.73534116    5.77721944
   1.200    1.015    4.78569187    5.82288436
   1.200    1.016    4.83633195    5.86889691
   1.200    1.017    4.88726174    5.91525845
   1.200    1.018    4.93858952    5.96197032
   1.200    1.019    4.99020061    6.00903385
   1.200    1.020    5.04210447    6.05645040
   1.200    1.021    5.09442454    6.10422132
   1.200    1.022    5.14704327    6.15234794
   1.200    1.023    5.19995660    6.20083163
   1.200    1.024    5.25328649    6.24967374
   1.200    1.025    5.30690847    6.29887563
   1.200    1.026    5.36081699    6.34843865
   1.200    1.027    5.41514611    6.39836416
   1.200    1.028    5.46978351    6.44865352
   1.200    1.029    5.52472949    6.49930810
   1.200    1.030    5.58010292    6.55032927
   1.200    1.031    5.63577865    6.60171839
   1.200    1.032    5.69175644    6.65347682
   1.200    1.033    5.74815806    6.70560596
   1.200    1.034    5.80486190    6.75810716
   1.200    1.035    5.86187988    6.81098180
   1.200    1.036    5.91934311    6.86423126
   1.200    1.037    5.97711354    6.91785692
   1.200    1.038    6.03519289    6.97186016
   1.200    1.039    6.09367203    7.02624236
   1.200    1.040    6.15254528    7.08100492
   1.200    1.041    6.21173366    7.13614921
   1.200    1.042    6.27124532    7.19167663
   1.200    1.043    6.33120741    7.24758857
   1.200    1.044    6.39149043    7.30388641
   1.200    1.045    6.45209439    7.36057157
   1.200    1.046    6.51314519    7.41764543
   1.200    1.047    6.57451946    7.47510939
   1.200    1.048    6.63622057    7.53296485
   1.200    1.049    6.69838065    7.59121322
   1.200    1.050    6.76086552    7.64985591
   1.200    1.051    6.82367789    7.70889431
   1.200    1.052    6.88695709    7.76832984
   1.200    1.053    6.95056250    7.82816391
   1.200    1.054    7.01449621    7.88839793
   1.200    1.055    7.07890423    7.94903332
   1.200    1.056    7.14364622    8.01007149
   1.200    1.057    7.20871933    8.07151387
   1.200    1.058    7.27427215    8.13336187
   1.200    1.059    7.34016490    8.19561691
   1.200    1.060    7.40639685    8.25828042
   1.200    1.061    7.47311151    8.32135383
   1.200    1.062    7.54016898    8.38483857
   1.200    1.063    7.60757057    8.44873606
   1.200    1.064    7.67545227    8.51304773
   1.200    1.065    7.74366993    8.57777503
   1.200    1.066    7.81223250    8.64291939
   1.200    1.067    7.88124395    8.70848225
   1.200    1.068    7.95070607    8.77446504
   1.200    1.069    8.02051832    8.84086921
   1.200    1.070    8.09067962    8.90769620
   1.200    1.071    8.16133778    8.97494746
   1.200    1.072    8.23234924    9.04262444
   1.200    1.073    8.30372195    9.11072859
   1.200    1.074    8.37559719    9.17926135
   1.200    1.075    8.44782543    9.24822418
   1.200    1.076    8.52041532    9.31761855
   1.200    1.077    8.59351990    9.38744590
   1.200    1.078    8.66697753    9.45770769
   1.200    1.079    8.74079864    9.52840539
   1.200    1.080    8.81515064    9.59954045
   1.200    1.081    8.88986201    9.67111436
   1.200    1.082    8.96493006    9.74312856
   1.200    1.083    9.04047070    9.81558454
   1.200    1.084    9.11648338    9.88848376
   1.200    1.085    9.19286778    9.96182769
   1.200    1.086    9.26962301    10.03561782
   1.200    1.087    9.34691406    10.10985561
   1.200    1.088    9.42457589    10.18454255
   1.200    1.089    9.50261167    10.25968011
   1.200    1.090    9.58120191    10.33526978
   1.200    1.091    9.66016602    10.41131305
   1.200    1.092    9.73949833    10.48781140
   1.200    1.093    9.81937519    10.56476632
   1.200    1.094    9.89963318    10.64217929
   1.200    1.095    9.98025939    10.72005182
   1.200    1.096    10.06136992    10.79838540
   1.200    1.097    10.14299158    10.87718151
   1.200    1.098    10.22500192    10.95644167
   1.200    1.099    10.30739596    11.03616736
   1.200    1.100    10.39036518    11.11636010
   1.200    1.101    10.47371583    11.19702138
   1.200    1.102    10.55744529    11.27815272
   1.200    1.103    10.64176191    11.35975561
   1.200    1.104    10.72646994    11.44183157
   1.200    1.105    10.81155579    11.52438211
   1.200    1.106    10.89716379    11.60740874
   1.200    1.107    10.98329999    11.69091298
   1.200    1.108    11.06983037    11.77489635
   1.200    1.109    11.15675963    11.85936036
   1.200    1.110    11.24428602    11.94430654
   1.200    1.111    11.33220425    12.02973640
   1.200    1.112    11.42050228    12.11565148
   1.200    1.113    11.50940453    12.20205330
   1.200    1.114    11.59871998    12.28894339
   1.200    1.115    11.68841305    12.37632327
   1.200    1.116    11.77864236    12.46419449
   1.200    1.117    11.86942233    12.55255857
   1.200    1.118    11.96060977    12.64141706
   1.200    1.119    12.05221735    12.73077148
   1.200    1.120    12.14444091    12.82062338
   1.200    1.121    12.23706542    12.91097431
   1.200    1.122    12.33010729    13.00182580
   1.200    1.123    12.42378252    13.09317941
   1.200    1.124    12.51786426    13.18503667
   1.200    1.125    12.61234839    13.27739914
   1.200    1.126    12.70740150    13.37026837
   1.200    1.127    12.80301973    13.46364592
   1.200    1.128    12.89905936    13.55753333
   1.200    1.129    12.99551873    13.65193217
   1.200    1.130    13.09262262    13.74684399
   1.200    1.131    13.19014918    13.84227036
   1.200    1.132    13.28809215    13.93821284
   1.200    1.133    13.38662003    14.03467299
   1.200    1.134    13.48572564    14.13165237
   1.200    1.135    13.58525371    14.22915257
   1.200    1.136    13.68520556    14.32717514
   1.200    1.137    13.78581536    14.42572167
   1.200    1.138    13.88687650    14.52479372
   1.200    1.139    13.98836760    14.62439287
   1.200    1.140    14.09043535    14.72452069
   1.200    1.141    14.19310592    14.82517878
   1.200    1.142    14.29622196    14.92636870
   1.200    1.143    14.39976273    15.02809205
   1.200    1.144    14.50397458    15.13035041
   1.200    1.145    14.60862918    15.23314536
   1.200    1.146    14.71372158    15.33647849
   1.200    1.147    14.81944381    15.44035141
   1.200    1.148    14.92577528    15.54476569
   1.200    1.149    15.03254770    15.64972293
   1.200    1.150    15.13978967    15.75522473
   1.200    1.151    15.24773292    15.86127270
   1.200    1.152    15.35611742    15.96786842
   1.200    1.153    15.46495532    16.07501350
   1.200    1.154    15.57441287    16.18270955
   1.200    1.155    15.68447653    16.29095817
   1.200    1.156    15.79501408    16.39976096
   1.200    1.157    15.90601724    16.50911955
   1.200    1.158    16.01772010    16.61903554
   1.200    1.159    16.12989135    16.72951054
   1.200    1.160    16.24253061    16.84054617
   1.200    1.161    16.35580330    16.95214405
   1.200    1.162    16.46970789    17.06430579
   1.200    1.163    16.58406930    17.17703303
   1.200    1.164    16.69890740    17.29032737
   1.200    1.165    16.81449871    17.40419044
   1.200    1.166    16.93056353    17.51862387
   1.200    1.167    17.04710224    17.63362930
   1.200    1.168    17.16430882    17.74920834
   1.200    1.169    17.28216659    17.86536264
   1.200    1.170    17.40048736    17.98209382
   1.200    1.171    17.51927990    18.09940352
   1.200    1.172    17.63873685    18.21729338
   1.200    1.173    17.75886296    18.33576504
   1.200    1.174    17.87947625    18.45482014
   1.200    1.175    18.00057530    18.57446032
   1.200    1.176    18.12244243    18.69468723
   1.200    1.177    18.24479478    18.81550252
   1.200    1.178    18.36762914    18.93690783
   1.200    1.179    18.49115203    19.05890482
   1.200    1.180    18.61535208    19.18149513
   1.200    1.181    18.74003479    19.30468043
   1.200    1.182    18.86521864    19.42846236
   1.200    1.183    18.99109040    19.55284259
   1.200    1.184    19.11764836    19.67782278
   1.200    1.185    19.24472012    19.80340458
   1.200    1.186    19.37228879    19.92958967
   1.200    1.187    19.50064199    20.05637970
   1.200    1.188    19.62948801    20.18377635
   1.200    1.189    19.75883709    20.31178128
   1.200    1.190    19.88890537    20.44039617
   1.200    1.191    20.01968033    20.56962268
   1.200    1.192    20.15095822    20.69946249
   1.200    1.193    20.28274216    20.82991729
   1.200    1.194    20.41524967    20.96098874
   1.200    1.195    20.54847285    21.09267853
   1.200    1.196    20.68220990    21.22498833
   1.200    1.197    20.81645135    21.35791984
   1.200    1.198    20.95151996    21.49147474
   1.200    1.199    21.08709814    21.62565472
   1.200    1.200    21.22317841    21.76046146
   1.200    1.201    21.36001061    21.89589666
   1.200    1.202    21.49758292    22.03196201
   1.200    1.203    21.63567009    22.16865920
   1.200    1.204    21.77427938    22.30598994
   1.200    1.205    21.91364189    22.44395592
   1.200    1.206    22.05374456    22.58255883
   1.200    1.207    22.19437784    22.72180039
   1.200    1.208    22.33552234    22.86168230
   1.200    1.209    22.47740365    23.00220626
   1.200    1.210    22.62003372    23.14337398
   1.200    1.211    22.76319059    23.28518717
   1.200    1.212    22.90688676    23.42764754
   1.200    1.213    23.05135710    23.57075681
   1.200    1.214    23.19658249    23.71451669
   1.200    1.215    23.34234154    23.85892889
   1.200    1.216    23.48864154    24.00399514
   1.200    1.217    23.63571762    24.14971715
   1.200    1.218    23.78357610    24.29609666
   1.200    1.219    23.93197981    24.44313537
   1.200    1.220    24.08091576    24.59083502
   1.200    1.221    24.23076331    24.73919734
   1.200    1.222    24.38116382    24.88822405
   1.200    1.223    24.53210494    25.03791690
   1.200    1.224    24.68382823    25.18827760
   1.200    1.225    24.83632133    25.33930789
   1.200    1.226    24.98936357    25.49100952
   1.200    1.227    25.14295636    25.64338422
   1.200    1.228    25.29734284    25.79643372
   1.200    1.229    25.45254992    25.95015979
   1.200    1.230    25.60831898    26.10456414
   1.200    1.231    25.76462950    26.25964855
   1.200    1.232    25.92176558    26.41541474
   1.200    1.233    26.07971996    26.57186447
   1.200    1.234    26.23823687    26.72899950
   1.200    1.235    26.39730398    26.88682157
   1.200    1.236    26.55719237    27.04533244
   1.200    1.237    26.71790310    27.20453386
   1.200    1.238    26.87919298    27.36442760
   1.200    1.239    27.04106840    27.52501542
   1.200    1.240    27.20378497    27.68629907
   1.200    1.241    27.36730616    27.84828033
   1.200    1.242    27.53138777    28.01096095
   1.200    1.243    27.69606265    28.17434271
   1.200    1.244    27.86161360    28.33842737
   1.200    1.245    28.02800094    28.50321671
   1.200    1.246    28.19494444    28.66871249
   1.200    1.247    28.36245256    28.83491650
   1.200    1.248    28.53082970    29.00183051
   1.200    1.249    28.70007184    29.16945629
   1.200    1.250    28.86991529    29.33779563
   1.200    1.251    29.04032992    29.50685032
   1.200    1.252    29.21159853    29.67662212
   1.200    1.253    29.38375784    29.84711284
   1.200    1.254    29.55651107    30.01832425
   1.200    1.255    29.72982825    30.19025815
   1.200    1.256    29.90403101    30.36291632
   1.200    1.257    30.07911591    30.53630056
   1.200    1.258    30.25480717    30.71041267
   1.200    1.259    30.43111257    30.88525444
   1.200    1.260    30.60833081    31.06082766
   1.200    1.261    30.78644954    31.23713414
   1.200    1.262    30.96515816    31.41417568
   1.200    1.263    31.14445330    31.59195408
   1.200    1.264    31.32466601    31.77047116
   1.200    1.265    31.50578094    31.94972870
   1.200    1.266    31.68750174    32.12972853
   1.200    1.267    31.86980709    32.31047245
   1.200    1.268    32.05303087    32.49196228
   1.200    1.269    32.23718544    32.67419983
   1.200    1.270    32.42195062    32.85718692
   1.200    1.271    32.60731635    33.04092536
   1.200    1.272    32.79361361    33.22541697
   1.200    1.273    32.98069674    33.41066358
   1.200    1.274    33.16874010    33.59666700
   1.200    1.275    33.35741779    33.78342907
   1.200    1.276    33.54670933    33.97095161
   1.200    1.277    33.73694064    34.15923644
   1.200    1.278    33.92811473    34.34828540
   1.200    1.279    34.11991901    34.53810032
   1.200    1.280    34.31232684    34.72868303
   1.200    1.281    34.50569851    34.92003537
   1.200    1.282    34.70003553    35.11215917
   1.200    1.283    34.89500519    35.30505628
   1.200    1.284    35.09061366    35.49872853
   1.200    1.285    35.28721045    35.69317777
   1.200    1.286    35.48475957    35.88840584
   1.200    1.287    35.68291850    36.08441459
   1.200    1.288    35.88171936    36.28120586
   1.200    1.289    36.08153210    36.47878150
   1.200    1.290    36.28231721    36.67714337
   1.200    1.291    36.48373871    36.87629333
   1.200    1.292    36.68580310    37.07623321
   1.200    1.293    36.88887941    37.27696488
   1.200    1.294    37.09277774    37.47849020
   1.200    1.295    37.29766811    37.68081103
   1.200    1.296    37.50320957    37.88392923
   1.200    1.297    37.70940069    38.08784667
   1.200    1.298    37.91661911    38.29256520
   1.200    1.299    38.12485499    38.49808670
