#	T	rho	calc	hoef:
   0.300    1.094    3.01367797    2.98615392
   0.300    1.095    3.08588140    3.05766459
   0.300    1.096    3.15847304    3.12962270
   0.300    1.097    3.23146220    3.20202980
   0.300    1.098    3.30495319    3.27488745
   0.300    1.099    3.37894297    3.34819720
   0.300    1.100    3.45333680    3.42196060
   0.300    1.101    3.52812616    3.49617922
   0.300    1.102    3.60341772    3.57085463
   0.300    1.103    3.67921306    3.64598838
   0.300    1.104    3.75541381    3.72158206
   0.300    1.105    3.83203473    3.79763722
   0.300    1.106    3.90922624    3.87415545
   0.300    1.107    3.98681300    3.95113833
   0.300    1.108    4.06479768    4.02858743
   0.300    1.109    4.14328033    4.10650434
   0.300    1.110    4.22228105    4.18489065
   0.300    1.111    4.30171023    4.26374795
   0.300    1.112    4.38155156    4.34307782
   0.300    1.113    4.46192311    4.42288188
   0.300    1.114    4.54282422    4.50316170
   0.300    1.115    4.62413812    4.58391890
   0.300    1.116    4.70587674    4.66515508
   0.300    1.117    4.78816863    4.74687185
   0.300    1.118    4.87099303    4.82907081
   0.300    1.119    4.95421857    4.91175359
   0.300    1.120    5.03785312    4.99492179
   0.300    1.121    5.12201516    5.07857703
   0.300    1.122    5.20671275    5.16272095
   0.300    1.123    5.29186336    5.24735515
   0.300    1.124    5.37744848    5.33248128
   0.300    1.125    5.46358475    5.41810095
   0.300    1.126    5.55027792    5.50421581
   0.300    1.127    5.63739740    5.59082749
   0.300    1.128    5.72495522    5.67793763
   0.300    1.129    5.81307978    5.76554787
   0.300    1.130    5.90177135    5.85365986
   0.300    1.131    5.99089997    5.94227525
   0.300    1.132    6.08046582    6.03139568
   0.300    1.133    6.17061199    6.12102281
   0.300    1.134    6.26131318    6.21115830
   0.300    1.135    6.35247211    6.30180381
   0.300    1.136    6.44407942    6.39296100
   0.300    1.137    6.53627012    6.48463154
   0.300    1.138    6.62897330    6.57681709
   0.300    1.139    6.72222601    6.66951933
   0.300    1.140    6.81595084    6.76273994
   0.300    1.141    6.91015498    6.85648058
   0.300    1.142    7.00497119    6.95074294
   0.300    1.143    7.10039727    7.04552871
   0.300    1.144    7.19628884    7.14083957
   0.300    1.145    7.29262341    7.23667721
   0.300    1.146    7.38955777    7.33304332
   0.300    1.147    7.48709796    7.42993960
   0.300    1.148    7.58510492    7.52736775
   0.300    1.149    7.68358190    7.62532947
   0.300    1.150    7.78265344    7.72382646
   0.300    1.151    7.88233716    7.82286043
   0.300    1.152    7.98252635    7.92243310
   0.300    1.153    8.08321350    8.02254616
   0.300    1.154    8.18452456    8.12320135
   0.300    1.155    8.28644292    8.22440038
   0.300    1.156    8.38883300    8.32614497
   0.300    1.157    8.49170488    8.42843685
   0.300    1.158    8.59521871    8.53127774
   0.300    1.159    8.69929316    8.63466938
   0.300    1.160    8.80399435    8.73861351
   0.300    1.161    8.90918266    8.84311185
   0.300    1.162    9.01486122    8.94816615
   0.300    1.163    9.12118574    9.05377815
   0.300    1.164    9.22815196    9.15994961
   0.300    1.165    9.33561200    9.26668226
   0.300    1.166    9.44355421    9.37397786
   0.300    1.167    9.55215143    9.48183817
   0.300    1.168    9.66133166    9.59026494
   0.300    1.169    9.77115667    9.69925994
   0.300    1.170    9.88148169    9.80882493
   0.300    1.171    9.99230426    9.91896167
   0.300    1.172    10.10378725    10.02967194
   0.300    1.173    10.21592432    10.14095752
   0.300    1.174    10.32856742    10.25282017
   0.300    1.175    10.44171576    10.36526168
   0.300    1.176    10.55553127    10.47828383
   0.300    1.177    10.66993270    10.59188840
   0.300    1.178    10.78500115    10.70607719
   0.300    1.179    10.90058827    10.82085198
   0.300    1.180    11.01668153    10.93621457
   0.300    1.181    11.13345062    11.05216677
   0.300    1.182    11.25089730    11.16871035
   0.300    1.183    11.36886470    11.28584715
   0.300    1.184    11.48734072    11.40357895
   0.300    1.185    11.60650642    11.52190757
   0.300    1.186    11.72627988    11.64083482
   0.300    1.187    11.84673046    11.76036252
   0.300    1.188    11.96771190    11.88049248
   0.300    1.189    12.08921993    12.00122654
   0.300    1.190    12.21142249    12.12256650
   0.300    1.191    12.33431860    12.24451421
   0.300    1.192    12.45774966    12.36707150
   0.300    1.193    12.58170694    12.49024019
   0.300    1.194    12.70636974    12.61402212
   0.300    1.195    12.83165322    12.73841914
   0.300    1.196    12.95764424    12.86343309
   0.300    1.197    13.08417322    12.98906582
   0.300    1.198    13.21123690    13.11531917
   0.300    1.199    13.33902111    13.24219500
   0.300    1.200    13.46743274    13.36969516
   0.300    1.201    13.59655868    13.49782151
   0.300    1.202    13.72623511    13.62657592
   0.300    1.203    13.85645153    13.75596024
   0.300    1.204    13.98739809    13.88597635
   0.300    1.205    14.11898777    14.01662613
   0.300    1.206    14.25129833    14.14791143
   0.300    1.207    14.38415976    14.27983414
   0.300    1.208    14.51757289    14.41239615
   0.300    1.209    14.65173050    14.54559933
   0.300    1.210    14.78661765    14.67944556
   0.300    1.211    14.92206186    14.81393675
   0.300    1.212    15.05805083    14.94907479
   0.300    1.213    15.19479060    15.08486156
   0.300    1.214    15.33219967    15.22129897
   0.300    1.215    15.47035637    15.35838891
   0.300    1.216    15.60906391    15.49613331
   0.300    1.217    15.74831647    15.63453406
   0.300    1.218    15.88833836    15.77359307
   0.300    1.219    16.02903451    15.91331226
   0.300    1.220    16.17049255    16.05369355
   0.300    1.221    16.31253242    16.19473886
   0.300    1.222    16.45510749    16.33645011
   0.300    1.223    16.59842405    16.47882923
   0.300    1.224    16.74241713    16.62187815
   0.300    1.225    16.88718566    16.76559880
   0.300    1.226    17.03253936    16.90999312
   0.300    1.227    17.17846921    17.05506305
   0.300    1.228    17.32519559    17.20081053
   0.300    1.229    17.47261387    17.34723751
   0.300    1.230    17.62081957    17.49434593
   0.300    1.231    17.76960277    17.64213775
   0.300    1.232    17.91892271    17.79061492
   0.300    1.233    18.06901735    17.93977941
   0.300    1.234    18.21982144    18.08963317
   0.300    1.235    18.37132766    18.24017816
   0.300    1.236    18.52362947    18.39141636
   0.300    1.237    18.67654920    18.54334974
   0.300    1.238    18.83003743    18.69598027
   0.300    1.239    18.98434471    18.84930993
   0.300    1.240    19.13939438    19.00334069
   0.300    1.241    19.29523575    19.15807455
   0.300    1.242    19.45167334    19.31351348
   0.300    1.243    19.60874713    19.46965948
   0.300    1.244    19.76663687    19.62651454
   0.300    1.245    19.92521916    19.78408066
   0.300    1.246    20.08464722    19.94235984
   0.300    1.247    20.24470100    20.10135408
   0.300    1.248    20.40535725    20.26106538
   0.300    1.249    20.56685932    20.42149575
   0.300    1.250    20.72907662    20.58264721
   0.300    1.251    20.89214670    20.74452178
   0.300    1.252    21.05590104    20.90712146
   0.300    1.253    21.22030051    21.07044828
   0.300    1.254    21.38555278    21.23450427
   0.300    1.255    21.55154228    21.39929145
   0.300    1.256    21.71827220    21.56481185
   0.300    1.257    21.88584845    21.73106752
   0.300    1.258    22.05406955    21.89806048
   0.300    1.259    22.22291229    22.06579278
   0.300    1.260    22.39265285    22.23426646
   0.300    1.261    22.56319306    22.40348357
   0.300    1.262    22.73461659    22.57344616
   0.300    1.263    22.90669379    22.74415627
   0.300    1.264    23.07938901    22.91561598
   0.300    1.265    23.25297161    23.08782734
   0.300    1.266    23.42734178    23.26079241
   0.300    1.267    23.60250068    23.43451325
   0.300    1.268    23.77853274    23.60899195
   0.300    1.269    23.95522674    23.78423056
   0.300    1.270    24.13256985    23.96023117
   0.300    1.271    24.31082654    24.13699585
   0.300    1.272    24.48986960    24.31452670
   0.300    1.273    24.66980499    24.49282578
   0.300    1.274    24.85042228    24.67189520
   0.300    1.275    25.03169312    24.85173704
   0.300    1.276    25.21388201    25.03235340
   0.300    1.277    25.39686081    25.21374638
   0.300    1.278    25.58063086    25.39591808
   0.300    1.279    25.76530460    25.57887060
   0.300    1.280    25.95066311    25.76260606
   0.300    1.281    26.13667370    25.94712655
   0.300    1.282    26.32361713    26.13243421
   0.300    1.283    26.51136319    26.31853115
   0.300    1.284    26.70003699    26.50541948
   0.300    1.285    26.88941019    26.69310133
   0.300    1.286    27.07943948    26.88157884
   0.300    1.287    27.27042201    27.07085412
   0.300    1.288    27.46221656    27.26092932
   0.300    1.289    27.65481431    27.45180657
   0.300    1.290    27.84834846    27.64348802
   0.300    1.291    28.04258792    27.83597580
   0.300    1.292    28.23748607    28.02927206
   0.300    1.293    28.43335514    28.22337896
   0.300    1.294    28.63004641    28.41829864
   0.300    1.295    28.82756870    28.61403327
   0.300    1.296    29.02606497    28.81058501
   0.300    1.297    29.22527248    29.00795601
   0.300    1.298    29.42516816    29.20614845
   0.300    1.299    29.62605183    29.40516449
   0.600    0.900   -2.40541349   -1.84935309
   0.600    0.901   -2.39056663   -1.83747290
   0.600    0.902   -2.37549269   -1.82539126
   0.600    0.903   -2.36023387   -1.81310713
   0.600    0.904   -2.34480078   -1.80061944
   0.600    0.905   -2.32914703   -1.78792713
   0.600    0.906   -2.31330764   -1.77502915
   0.600    0.907   -2.29727463   -1.76192442
   0.600    0.908   -2.28105353   -1.74861189
   0.600    0.909   -2.26464662   -1.73509047
   0.600    0.910   -2.24800292   -1.72135911
   0.600    0.911   -2.23117261   -1.70741673
   0.600    0.912   -2.21414253   -1.69326224
   0.600    0.913   -2.19691472   -1.67889458
   0.600    0.914   -2.17949603   -1.66431266
   0.600    0.915   -2.16183488   -1.64951540
   0.600    0.916   -2.14398504   -1.63450171
   0.600    0.917   -2.12594028   -1.61927050
   0.600    0.918   -2.10766338   -1.60382069
   0.600    0.919   -2.08920073   -1.58815119
   0.600    0.920   -2.07051755   -1.57226088
   0.600    0.921   -2.05161489   -1.55614869
   0.600    0.922   -2.03251719   -1.53981351
   0.600    0.923   -2.01318005   -1.52325424
   0.600    0.924   -1.99364180   -1.50646977
   0.600    0.925   -1.97390281   -1.48945899
   0.600    0.926   -1.95392755   -1.47222080
   0.600    0.927   -1.93375068   -1.45475409
   0.600    0.928   -1.91333703   -1.43705774
   0.600    0.929   -1.89271446   -1.41913063
   0.600    0.930   -1.87190296   -1.40097166
   0.600    0.931   -1.85082218   -1.38257968
   0.600    0.932   -1.82953058   -1.36395359
   0.600    0.933   -1.80803494   -1.34509225
   0.600    0.934   -1.78627013   -1.32599454
   0.600    0.935   -1.76429120   -1.30665933
   0.600    0.936   -1.74208479   -1.28708548
   0.600    0.937   -1.71964500   -1.26727186
   0.600    0.938   -1.69700051   -1.24721733
   0.600    0.939   -1.67410245   -1.22692075
   0.600    0.940   -1.65097991   -1.20638098
   0.600    0.941   -1.62763116   -1.18559687
   0.600    0.942   -1.60401864   -1.16456727
   0.600    0.943   -1.58019543   -1.14329105
   0.600    0.944   -1.55612014   -1.12176703
   0.600    0.945   -1.53181005   -1.09999408
   0.600    0.946   -1.50728655   -1.07797102
   0.600    0.947   -1.48247014   -1.05569671
   0.600    0.948   -1.45743603   -1.03316998
   0.600    0.949   -1.43218143   -1.01038967
   0.600    0.950   -1.40664387   -0.98735460
   0.600    0.951   -1.38088112   -0.96406362
   0.600    0.952   -1.35488388   -0.94051555
   0.600    0.953   -1.32859235   -0.91670921
   0.600    0.954   -1.30207646   -0.89264344
   0.600    0.955   -1.27531175   -0.86831704
   0.600    0.956   -1.24829531   -0.84372885
   0.600    0.957   -1.22104844   -0.81887767
   0.600    0.958   -1.19350260   -0.79376233
   0.600    0.959   -1.16572738   -0.76838163
   0.600    0.960   -1.13770691   -0.74273438
   0.600    0.961   -1.10937411   -0.71681939
   0.600    0.962   -1.08081386   -0.69063546
   0.600    0.963   -1.05201341   -0.66418140
   0.600    0.964   -1.02290641   -0.63745601
   0.600    0.965   -0.99356801   -0.61045808
   0.600    0.966   -0.96399251   -0.58318641
   0.600    0.967   -0.93410240   -0.55563979
   0.600    0.968   -0.90395799   -0.52781702
   0.600    0.969   -0.87354493   -0.49971687
   0.600    0.970   -0.84286725   -0.47133813
   0.600    0.971   -0.81194573   -0.44267959
   0.600    0.972   -0.78069906   -0.41374003
   0.600    0.973   -0.74919897   -0.38451823
